"","Type","Subpopulation","Indicator","Value","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"2277","Combined","All Basins","TN",2.504,88,100,0,100,100,299122.129497161,42659.6092884067,215510.831697333,382733.427296988
"2278","Basin","ZONE 1","TN",0.126,1,6.4184659950291,5.34607105192917,0,16.8965727156024,911.749535619344,760.716046685341,0,2402.7255895843
"2279","Basin","ZONE 1","TN",0.144,3,18.8359507838897,7.57107190209307,3.99692253142408,33.6749790363552,2675.66571100645,1079.96531293666,558.972593098069,4792.35882891482
"2280","Basin","ZONE 1","TN",0.284,4,25.3146947581312,7.00882946996162,11.5776414232234,39.0517480930389,3595.97779406276,1007.55161628637,1621.21291357636,5570.74267454915
"2281","Basin","ZONE 1","TN",0.424,4,25.3146947581312,7.00882946996162,11.5776414232234,39.0517480930389,3595.97779406276,1007.55161628637,1621.21291357636,5570.74267454915
"2282","Basin","ZONE 1","TN",0.434,5,31.2534355727502,5.61461765352601,20.2489871848764,42.257883960624,4439.58188639355,805.72891126028,2860.38223902073,6018.78153376636
"2283","Basin","ZONE 1","TN",0.48,5,31.2534355727502,5.61461765352601,20.2489871848764,42.257883960624,4439.58188639355,805.72891126028,2860.38223902073,6018.78153376636
"2284","Basin","ZONE 1","TN",0.484,5,31.2534355727502,5.61461765352601,20.2489871848764,42.257883960624,4439.58188639355,805.72891126028,2860.38223902073,6018.78153376636
"2285","Basin","ZONE 1","TN",0.502,5,31.2534355727502,5.61461765352601,20.2489871848764,42.257883960624,4439.58188639355,805.72891126028,2860.38223902073,6018.78153376636
"2286","Basin","ZONE 1","TN",0.521,5,31.2534355727502,5.61461765352601,20.2489871848764,42.257883960624,4439.58188639355,805.72891126028,2860.38223902073,6018.78153376636
"2287","Basin","ZONE 1","TN",0.534,6,37.1921763873692,0.952440840120058,35.3254266433289,39.0589261314096,5283.18597872433,84.7829670356637,5117.01441683199,5449.35754061668
"2288","Basin","ZONE 1","TN",0.549,6,37.1921763873692,0.952440840120058,35.3254266433289,39.0589261314096,5283.18597872433,84.7829670356637,5117.01441683199,5449.35754061668
"2289","Basin","ZONE 1","TN",0.57,7,45.021992125425,6.33141145175009,32.6126537086904,57.4313305421597,6395.41916165094,915.098653065408,4601.85875934163,8188.97956396025
"2290","Basin","ZONE 1","TN",0.594,8,51.4404581204541,8.60406798275682,34.5767947537166,68.3041214871917,7307.16869727028,1209.70381704379,4936.19278390383,9678.14461063673
"2291","Basin","ZONE 1","TN",0.6,9,59.2702738585099,8.30528240156475,42.9922194700087,75.5483282470111,8419.40188019689,1186.86091504618,6093.19723204813,10745.6065283457
"2292","Basin","ZONE 1","TN",0.614,10,64.0930679969721,9.12527948622868,46.2078488551017,81.9782871388425,9104.48462731062,1237.30970212277,6679.40217342801,11529.5670811932
"2293","Basin","ZONE 1","TN",0.618,11,70.5718119712136,8.86400379123112,53.1986837815741,87.9449401608531,10024.7967103669,1219.11131375598,7635.38244225989,12414.210978474
"2294","Basin","ZONE 1","TN",0.684,11,70.5718119712136,8.86400379123112,53.1986837815741,87.9449401608531,10024.7967103669,1219.11131375598,7635.38244225989,12414.210978474
"2295","Basin","ZONE 1","TN",0.694,11,70.5718119712136,8.86400379123112,53.1986837815741,87.9449401608531,10024.7967103669,1219.11131375598,7635.38244225989,12414.210978474
"2296","Basin","ZONE 1","TN",0.714,11,70.5718119712136,8.86400379123112,53.1986837815741,87.9449401608531,10024.7967103669,1219.11131375598,7635.38244225989,12414.210978474
"2297","Basin","ZONE 1","TN",0.724,11,70.5718119712136,8.86400379123112,53.1986837815741,87.9449401608531,10024.7967103669,1219.11131375598,7635.38244225989,12414.210978474
"2298","Basin","ZONE 1","TN",0.734,11,70.5718119712136,8.86400379123112,53.1986837815741,87.9449401608531,10024.7967103669,1219.11131375598,7635.38244225989,12414.210978474
"2299","Basin","ZONE 1","TN",0.74,11,70.5718119712136,8.86400379123112,53.1986837815741,87.9449401608531,10024.7967103669,1219.11131375598,7635.38244225989,12414.210978474
"2300","Basin","ZONE 1","TN",0.744,11,70.5718119712136,8.86400379123112,53.1986837815741,87.9449401608531,10024.7967103669,1219.11131375598,7635.38244225989,12414.210978474
"2301","Basin","ZONE 1","TN",0.746,11,70.5718119712136,8.86400379123112,53.1986837815741,87.9449401608531,10024.7967103669,1219.11131375598,7635.38244225989,12414.210978474
"2302","Basin","ZONE 1","TN",0.754,11,70.5718119712136,8.86400379123112,53.1986837815741,87.9449401608531,10024.7967103669,1219.11131375598,7635.38244225989,12414.210978474
"2303","Basin","ZONE 1","TN",0.77,11,70.5718119712136,8.86400379123112,53.1986837815741,87.9449401608531,10024.7967103669,1219.11131375598,7635.38244225989,12414.210978474
"2304","Basin","ZONE 1","TN",0.774,11,70.5718119712136,8.86400379123112,53.1986837815741,87.9449401608531,10024.7967103669,1219.11131375598,7635.38244225989,12414.210978474
"2305","Basin","ZONE 1","TN",0.794,11,70.5718119712136,8.86400379123112,53.1986837815741,87.9449401608531,10024.7967103669,1219.11131375598,7635.38244225989,12414.210978474
"2306","Basin","ZONE 1","TN",0.804,12,78.4016277092694,9.09099118216899,60.583612408447,96.2196430100918,11137.0298932935,1281.89898451733,8624.55405182111,13649.505734766
"2307","Basin","ZONE 1","TN",0.814,12,78.4016277092694,9.09099118216899,60.583612408447,96.2196430100918,11137.0298932935,1281.89898451733,8624.55405182111,13649.505734766
"2308","Basin","ZONE 1","TN",0.824,12,78.4016277092694,9.09099118216899,60.583612408447,96.2196430100918,11137.0298932935,1281.89898451733,8624.55405182111,13649.505734766
"2309","Basin","ZONE 1","TN",0.827,12,78.4016277092694,9.09099118216899,60.583612408447,96.2196430100918,11137.0298932935,1281.89898451733,8624.55405182111,13649.505734766
"2310","Basin","ZONE 1","TN",0.83,12,78.4016277092694,9.09099118216899,60.583612408447,96.2196430100918,11137.0298932935,1281.89898451733,8624.55405182111,13649.505734766
"2311","Basin","ZONE 1","TN",0.834,12,78.4016277092694,9.09099118216899,60.583612408447,96.2196430100918,11137.0298932935,1281.89898451733,8624.55405182111,13649.505734766
"2312","Basin","ZONE 1","TN",0.844,13,86.2314434473252,8.36180023231161,69.8426161460758,100,12249.2630762201,1233.48414253951,9831.67858134143,14666.8475710989
"2313","Basin","ZONE 1","TN",0.854,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
